tick,score,bits
44,10.0,0110110011101101
45,8.0,0010010111101111
46,8.0,0101110100001100
47,8.0,0001100110011011
48,10.0,1011000101011000
49,10.0,0010100011011011
50,10.0,0011000010101010
51,8.0,1110010010100111
52,6.0,0111111001111001
53,8.0,0110110100011000
54,8.0,0101110110011111
55,10.0,1100101101101101
56,6.0,1011110001111001
57,10.0,1101001110101100
58,8.0,1011100000110101
59,10.0,1110010010110010
60,10.0,1010010001101101
61,8.0,1110010101111110
62,10.0,0110010011010110
63,10.0,0100111010010010
64,8.0,1000010011000110
65,10.0,1001011001011000
66,6.0,0110001000111000
67,8.0,0101101100000100
68,10.0,1011010000110101
69,8.0,1100011110100110
70,8.0,0010101110000001
71,6.0,1001110011110001
72,6.0,0011100001110100
73,6.0,1100000110011101
74,10.0,0101101011101100
75,6.0,1010000110111111
76,10.0,1010010110111100
77,8.0,0110001110010001
78,4.0,1110100000000111
79,6.0,1000011110011101
80,10.0,0101001111101001
81,8.0,0100011001100110
82,8.0,1011101100001100
83,6.0,0111000110000011
84,6.0,1011111000110111
85,8.0,0011011101001111
86,8.0,1110111001100101
87,10.0,1000101000101100
88,6.0,1111110111110100
89,10.0,0101101000101100
90,8.0,0010001100110001
91,10.0,1010110100001101
92,8.0,1111010101101111
93,6.0,0011110010110000
94,8.0,0110010001011100
95,10.0,0101100000101101
96,10.0,1001001101011100
97,8.0,1101101101000000
98,10.0,0011011011001001
99,10.0,0010101101100111
100,8.0,0011010011000011
101,10.0,0110100000110101
102,8.0,1101000001100100
103,8.0,1010000010010011
104,10.0,0110100001011001
105,6.0,0111000000010110
106,8.0,1001011110111101
107,4.0,0000001110000110
108,8.0,1011101000001000
109,6.0,0011111000011101
110,8.0,0101001110111000
111,10.0,0101010000110100
112,8.0,0000101011011111
113,8.0,1000010101011111
114,8.0,1100011100110100
115,4.0,1000001100000111
116,6.0,0001000010001000
117,6.0,0011111001111010
118,10.0,0110111010101000
119,8.0,0001100111011010
120,4.0,0000011011100000
121,6.0,0110000101110000
122,8.0,0010101111111010
123,12.0,0101011100101010
124,8.0,0100000100100110
125,6.0,0011100001110110
126,6.0,0000000010100100
127,6.0,0000000110010001
128,8.0,0011011000101100
129,12.0,0100001010101011
130,6.0,1100011000100111
131,8.0,0100010110011100
132,8.0,0111011111100101
133,8.0,1000101100100011
134,10.0,0001010010010010
135,8.0,0100011100011101
136,10.0,0111010110100100
137,4.0,1111110111100000
138,10.0,0110010010111010
139,6.0,1100000000010110
140,6.0,1011011000001111
141,8.0,1100001000110110
142,8.0,1000011001011011
143,8.0,1100111010001000
144,10.0,0101101101011111
145,8.0,1011111011001011
146,6.0,1100000110111101
147,8.0,0100010011001111
148,6.0,1100011000100111
